year,attribute,response,synth_count,ref_prop,synth_prop
2018,acquired_brain_injury,Unknown,8441,0.0,1.0
2018,age_first_homeless,25 to 49 years old,3597,0.4229,0.4261
2018,age_first_homeless,13 to 17 years old,2597,0.3057,0.3077
2018,age_first_homeless,18 to 24 years old,904,0.1107,0.1071
2018,age_first_homeless,50 to 64 years old,875,0.105,0.1037
2018,age_first_homeless,Under 12 years old,356,0.0436,0.0422
2018,age_first_homeless,Over 65 years old,112,0.0121,0.0133
2018,age_group,25 to 49 years old,4925,0.5921,0.5835
2018,age_group,50 to 64 years old,2164,0.2443,0.2564
2018,age_group,18 to 24 years old,700,0.0871,0.0829
2018,age_group,13 to 17 years old,355,0.04,0.0421
2018,age_group,Over 65 years old,297,0.0364,0.0352
2018,cause_housing_loss,Substance use,1393,0.1607,0.165
2018,cause_housing_loss,Other,1277,0.1564,0.1513
2018,cause_housing_loss,Incarceration (prison or jail),702,0.0857,0.0832
2018,cause_housing_loss,Unable to pay rent or mortgage,680,0.0779,0.0806
2018,cause_housing_loss,Unsafe housing,672,0.0829,0.0796
2018,cause_housing_loss,Conflict with spouse/partner,639,0.0771,0.0757
2018,cause_housing_loss,Health issue,589,0.0743,0.0698
2018,cause_housing_loss,Left country/fleeing war,537,0.0564,0.0636
2018,cause_housing_loss,Job loss,521,0.0593,0.0617
2018,cause_housing_loss,Conflict with parent/guardian,446,0.05,0.0528
2018,cause_housing_loss,Experienced abuse by spouse/partner,259,0.0343,0.0307
2018,cause_housing_loss,Hospitalization or treatment program,226,0.025,0.0268
2018,cause_housing_loss,Experienced abuse by parent/guardian,207,0.025,0.0245
2018,cause_housing_loss,Evicted,183,0.0229,0.0217
2018,cause_housing_loss,Relocation,110,0.0121,0.013
2018,citizenship,Unknown,8441,0.0,1.0
2018,covid_housing_loss,Unknown,8441,0.0,1.0
2018,dependents_tonight,Unknown,8441,0.0,1.0
2018,duration_homeless_past_year,More than 180 days,5036,0.6014,0.5966
2018,duration_homeless_past_year,Less than 180 days,3405,0.3986,0.4034
2018,education,Unknown,8441,0.0,1.0
2018,episodes_homeless_past_year,Less than 3 episodes of homelessness,6849,0.8157,0.8114
2018,episodes_homeless_past_year,3 or more episodes of homelessness,1592,0.1843,0.1886
2018,family_members_tonight,Accompanied by family member(s) or other(s),8441,1.0,1.0
2018,foster_care,No,6144,0.7293,0.7279
2018,foster_care,Yes,2297,0.2707,0.2721
2018,foster_care_how_long_ago,5 or more years,6388,0.7621,0.7568
2018,foster_care_how_long_ago,2 to 5 years,1266,0.1479,0.15
2018,foster_care_how_long_ago,1 year or less,787,0.09,0.0932
2018,foster_care_to_homeless,Unknown,8441,0.0,1.0
2018,gender,Men,6475,0.7677,0.7671
2018,gender,Women,1966,0.2323,0.2329
2018,health_challenges,Addiction,2761,0.3314,0.3271
2018,health_challenges,Mental health issue,2463,0.2836,0.2918
2018,health_challenges,Medical condition,1881,0.2257,0.2228
2018,health_challenges,Physical disability,1336,0.1593,0.1583
2018,housing_challenges,Unknown,8441,0.0,1.0
2018,housing_loss_how_long_ago,Unknown,8441,0.0,1.0
2018,immigration_status,No,6242,0.7343,0.7395
2018,immigration_status,"Yes, immigrant",1159,0.1436,0.1373
2018,immigration_status,"Yes, refugee or refugee claimant",1040,0.1221,0.1232
2018,income_sources,Ontario Works,3981,0.4779,0.4716
2018,income_sources,Disability benefit,2067,0.2479,0.2449
2018,income_sources,Employment,750,0.0893,0.0889
2018,income_sources,Other,425,0.0464,0.0503
2018,income_sources,Seniors' benefits,389,0.0443,0.0461
2018,income_sources,Child and family tax benefits,205,0.0236,0.0243
2018,income_sources,Informal income (eg. bottle returns),186,0.02,0.022
2018,income_sources,GST/HST refund,140,0.0164,0.0166
2018,income_sources,Money from family/friends,112,0.0136,0.0133
2018,income_sources,Employment insurance,101,0.0114,0.012
2018,income_sources,Student loans,85,0.0093,0.0101
2018,language,English,6000,0.71,0.7108
2018,language,French,1183,0.1407,0.1401
