feature,importance,std
race_encoded,0.2617227757799673,0.0023983068996129846
outdoor_sleeping,0.22092827217440317,0.0032716641108979645
no_income,0.20548938353778742,0.0016060915448121021
youth,0.17065637992485963,0.0016727569766469645
age,0.04456088045104305,0.0017855879859289177
housing_loss_income,0.032577855418088,0.0009467643305645178
years_homeless,0.030622029175742516,0.0008762554530204702
chronic_homeless,0.02838634145912572,0.000894097733685964
immigrant,0.01789385785129487,0.0006419200994616139
housing_loss_health,0.010408848690779116,0.0006173714321341934
lgbtq,0.009504454381017557,0.0005746361880943998
substance_use,0.009158209677808792,0.00035457545646459457
mental_health,0.005715404613121556,0.0005281951342531163
shelter_encoded,0.004838092465533683,0.000405664815871676
foster_care_history,0.0034638235019314066,0.00028276098223151917
incarceration_history,0.002379465676503434,0.0003291179143665347
gender_encoded,0.0009831125830720433,0.0003785660051089213
indigenous,0.0,0.0
physical_health,0.0,0.0
