year,attribute,response,expected_prop,actual_prop,error
2018,gender,Men,0.6007,0.6158,0.0151
2018,gender,Non-binary and other identities,0.0221,0.0213,0.0008
2018,gender,Women,0.3636,0.3629,0.0007
2018,age_group,13 to 17 years old,0.0457,0.0448,0.0009
2018,age_group,18 to 24 years old,0.0879,0.0886,0.0008
2018,age_group,25 to 49 years old,0.5871,0.6024,0.0153
2018,age_group,50 to 64 years old,0.2307,0.2347,0.004
2018,age_group,Over 65 years old,0.03,0.0295,0.0005
2018,racial_identity,Non-racialized,0.4764,0.4927,0.0163
2018,racial_identity,Racialized,0.4807,0.5073,0.0266
2018,sexual_orientation,"Gay, lesbian and other",0.0886,0.0903,0.0017
2018,sexual_orientation,Heterosexual,0.8686,0.9097,0.0412
2018,language,English,4.7324,0.7285,4.0039
2018,language,French,0.892,0.141,0.751
2018,language,Neither English or French,0.4554,0.075,0.3804
2018,language,No preference,0.3568,0.0556,0.3012
2018,income_sources,Child and family tax benefits,0.0236,0.0219,0.0017
2018,income_sources,Disability benefit,0.26,0.2566,0.0034
2018,income_sources,Employment,0.0879,0.0846,0.0033
2018,income_sources,Employment insurance,0.0121,0.0107,0.0015
2018,income_sources,GST/HST refund,0.0207,0.0207,0.0
2018,income_sources,Informal income (eg. bottle returns),0.0243,0.0286,0.0043
2018,income_sources,Money from family/friends,0.0121,0.0117,0.0004
2018,income_sources,Ontario Works,0.4986,0.4811,0.0175
2018,income_sources,Other,0.0421,0.0418,0.0003
2018,income_sources,Seniors' benefits,0.0386,0.0373,0.0013
2018,income_sources,Student loans,0.0057,0.005,0.0007
2018,health_challenges,Addiction,0.4971,0.3192,0.178
2018,health_challenges,Medical condition,0.3571,0.2308,0.1264
2018,health_challenges,Mental health issue,0.4436,0.2842,0.1594
2018,health_challenges,Physical disability,0.2586,0.1659,0.0927
2018,immigration_status,No,0.7293,0.7478,0.0185
2018,immigration_status,"Yes, immigrant",0.1207,0.1263,0.0056
2018,immigration_status,"Yes, refugee or refugee claimant",0.1179,0.1259,0.0081
2018,location_tonight,Emergency shelter,0.585,0.5886,0.0036
2018,location_tonight,Institution,0.0471,0.0506,0.0034
