year,gender,age_group,racial_identity,sexual_orientation,language,income_sources,health_challenges,immigration_status,location_tonight,shelter_past_year,education,acquired_brain_injury
2018,Women,25 to 49 years old,Racialized,"Gay, lesbian and other",French,Ontario Works,Mental health issue,"Yes, immigrant",Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,French,GST/HST refund,Mental health issue,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Other,Addiction,No,Emergency shelter,Yes,,
2018,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Transitional housing,Yes,,
2018,Men,13 to 17 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Transitional housing,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Employment,Physical disability,No,Emergency shelter,Yes,,
2018,Women,18 to 24 years old,Racialized,Heterosexual,No preference,Ontario Works,Addiction,No,Emergency shelter,No,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,No preference,Other,Medical condition,No,Someone else's Place,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Employment,Addiction,No,Transitional housing,Yes,,
2018,Men,18 to 24 years old,Non-racialized,Heterosexual,French,Employment,Mental health issue,No,Emergency shelter,No,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Addiction,No,Transitional housing,Yes,,
2018,Women,Over 65 years old,Non-racialized,Heterosexual,English,Seniors' benefits,Medical condition,No,Transitional housing,No,,
2018,Women,25 to 49 years old,Racialized,"Gay, lesbian and other",English,Ontario Works,Addiction,No,Emergency shelter,Yes,,
2018,Men,18 to 24 years old,Racialized,Heterosexual,French,Seniors' benefits,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,French,Ontario Works,Mental health issue,No,Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,English,Employment,Medical condition,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Physical disability,"Yes, immigrant",Institution,Yes,,
2018,Women,50 to 64 years old,Non-racialized,"Gay, lesbian and other",French,Ontario Works,Physical disability,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,No,Other,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,No,Emergency shelter,No,,
2018,Women,50 to 64 years old,Non-racialized,"Gay, lesbian and other",English,GST/HST refund,Medical condition,"Yes, immigrant",Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Transitional housing,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Physical disability,No,Institution,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Addiction,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Other,Physical disability,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, immigrant",Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,"Gay, lesbian and other",No preference,Ontario Works,Mental health issue,"Yes, refugee or refugee claimant",Someone else's Place,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Medical condition,"Yes, immigrant",Motel / Hotel,Yes,,
2018,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Disability benefit,Addiction,No,Transitional housing,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,"Yes, immigrant",Someone else's Place,No,,
2018,Men,13 to 17 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,"Yes, immigrant",Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,No preference,Ontario Works,Mental health issue,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Transitional housing,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,Neither English or French,Ontario Works,Medical condition,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,"Gay, lesbian and other",English,Other,Mental health issue,No,Emergency shelter,No,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Medical condition,No,Transitional housing,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Disability benefit,Addiction,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Women,13 to 17 years old,Racialized,Heterosexual,English,Informal income (eg. bottle returns),Addiction,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Other,Medical condition,No,Emergency shelter,Yes,,
2018,Women,50 to 64 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Physical disability,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,No,Emergency shelter,Yes,,
2018,Women,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,No,,
2018,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Disability benefit,Addiction,"Yes, refugee or refugee claimant",Transitional housing,Yes,,
2018,Men,18 to 24 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Other,Addiction,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,"Gay, lesbian and other",No preference,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Motel / Hotel,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Child and family tax benefits,Physical disability,"Yes, immigrant",Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,No preference,Ontario Works,Physical disability,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,"Gay, lesbian and other",English,Ontario Works,Physical disability,"Yes, refugee or refugee claimant",Motel / Hotel,No,,
2018,Women,50 to 64 years old,Racialized,Heterosexual,Neither English or French,Disability benefit,Addiction,"Yes, immigrant",Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Seniors' benefits,Mental health issue,No,Emergency shelter,No,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,French,Disability benefit,Addiction,No,Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Transitional housing,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,Neither English or French,Ontario Works,Medical condition,No,Emergency shelter,Yes,,
2018,Men,13 to 17 years old,Racialized,Heterosexual,Neither English or French,Ontario Works,Physical disability,No,Emergency shelter,Yes,,
2018,Men,13 to 17 years old,Racialized,"Gay, lesbian and other",English,Disability benefit,Medical condition,No,Emergency shelter,Yes,,
2018,Women,50 to 64 years old,Non-racialized,"Gay, lesbian and other",English,Ontario Works,Addiction,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,No,Transitional housing,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Physical disability,"Yes, immigrant",Someone else's Place,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,No preference,Ontario Works,Mental health issue,"Yes, immigrant",Vehicle,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Someone else's Place,Yes,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,English,Disability benefit,Physical disability,No,Emergency shelter,No,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Women,50 to 64 years old,Racialized,Heterosexual,English,Disability benefit,Addiction,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,"Yes, immigrant",Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Someone else's Place,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Ontario Works,Addiction,No,Transitional housing,No,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,No preference,Ontario Works,Mental health issue,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Informal income (eg. bottle returns),Mental health issue,No,Emergency shelter,No,,
2018,Men,18 to 24 years old,Racialized,Heterosexual,English,Other,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,No,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,No,Transitional housing,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Addiction,No,Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,"Yes, refugee or refugee claimant",Motel / Hotel,Yes,,
2018,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Someone else's Place,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Informal income (eg. bottle returns),Mental health issue,No,Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Seniors' benefits,Medical condition,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,No preference,Disability benefit,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Unsheltered,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Emergency shelter,Yes,,
2018,Men,13 to 17 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Addiction,"Yes, immigrant",Motel / Hotel,No,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,No,Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Ontario Works,Physical disability,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Physical disability,"Yes, refugee or refugee claimant",Emergency shelter,Yes,,
2018,Non-binary and other identities,18 to 24 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Emergency shelter,Yes,,
2018,Men,50 to 64 years old,Racialized,Heterosexual,English,Seniors' benefits,Medical condition,"Yes, refugee or refugee claimant",Someone else's Place,Yes,,
2018,Men,18 to 24 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,Yes,,
2018,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,Yes,,
2018,Women,25 to 49 years old,Non-racialized,Heterosexual,No preference,Employment insurance,Medical condition,No,Transitional housing,Yes,,
