period,attribute,response,observed,synthetic,abs_error
April 2018,age_first_homeless,25 to 49 years old,597,592,5
April 2018,age_first_homeless,13 to 17 years old,424,428,4
April 2018,age_first_homeless,18 to 24 years old,158,155,3
April 2018,age_first_homeless,50 to 64 years old,144,147,3
April 2018,age_first_homeless,Under 12 years old,61,61,0
April 2018,age_first_homeless,Over 65 years old,16,17,1
April 2018,age_group,25 to 49 years old,838,829,9
April 2018,age_group,50 to 64 years old,329,342,13
April 2018,age_group,18 to 24 years old,125,122,3
April 2018,age_group,13 to 17 years old,65,56,9
April 2018,age_group,Over 65 years old,43,51,8
April 2018,cause_housing_loss,Substance use,226,225,1
April 2018,cause_housing_loss,Other,212,219,7
April 2018,cause_housing_loss,Incarceration (prison or jail),120,120,0
April 2018,cause_housing_loss,Unsafe housing,113,116,3
April 2018,cause_housing_loss,Unable to pay rent or mortgage,128,109,19
April 2018,cause_housing_loss,Conflict with spouse/partner,100,108,8
April 2018,cause_housing_loss,Health issue,104,104,0
April 2018,cause_housing_loss,Job loss,84,83,1
April 2018,cause_housing_loss,Left country/fleeing war,80,79,1
April 2018,cause_housing_loss,Conflict with parent/guardian,73,70,3
April 2018,cause_housing_loss,Experienced abuse by spouse/partner,52,48,4
April 2018,cause_housing_loss,Hospitalization or treatment program,30,35,5
April 2018,cause_housing_loss,Experienced abuse by parent/guardian,30,35,5
April 2018,cause_housing_loss,Evicted,29,32,3
April 2018,cause_housing_loss,Relocation,19,17,2
April 2018,duration_homeless_past_year,More than 180 days,893,842,51
April 2018,duration_homeless_past_year,Less than 180 days,507,558,51
April 2018,episodes_homeless_past_year,Less than 3 episodes of homelessness,1152,1142,10
April 2018,episodes_homeless_past_year,3 or more episodes of homelessness,248,258,10
April 2018,family_members_tonight,Accompanied by family member(s) or other(s),1400,1400,0
April 2018,foster_care,No,1017,1021,4
April 2018,foster_care,Yes,383,379,4
April 2018,foster_care_how_long_ago,5 or more years,1067,1067,0
April 2018,foster_care_how_long_ago,2 to 5 years,201,207,6
April 2018,foster_care_how_long_ago,1 year or less,132,126,6
April 2018,gender,Men,853,869,16
April 2018,gender,Women,516,498,18
April 2018,gender,Non-binary and other identities,31,33,2
April 2018,health_challenges,Addiction,447,464,17
April 2018,health_challenges,Mental health issue,399,397,2
April 2018,health_challenges,Medical condition,321,316,5
April 2018,health_challenges,Physical disability,233,223,10
April 2018,immigration_status,No,1055,1028,27
April 2018,immigration_status,"Yes, immigrant",175,201,26
April 2018,immigration_status,"Yes, refugee or refugee claimant",170,171,1
April 2018,income_sources,Ontario Works,681,669,12
