year,actual_total,actual_mental_health_count,actual_mental_health_rate,pred_mental_health_count,pred_mental_health_rate,actual_substance_use_count,actual_substance_use_rate,pred_substance_use_count,pred_substance_use_rate,actual_outdoor_sleeping_count,actual_outdoor_sleeping_rate,pred_outdoor_sleeping_count,pred_outdoor_sleeping_rate,actual_chronic_homeless_count,actual_chronic_homeless_rate,pred_chronic_homeless_count,pred_chronic_homeless_rate,actual_lgbtq_count,actual_lgbtq_rate,pred_lgbtq_count,pred_lgbtq_rate,actual_immigrant_count,actual_immigrant_rate,pred_immigrant_count,pred_immigrant_rate,actual_foster_care_history_count,actual_foster_care_history_rate,pred_foster_care_history_count,pred_foster_care_history_rate,actual_incarceration_history_count,actual_incarceration_history_rate,pred_incarceration_history_count,pred_incarceration_history_rate,actual_no_income_count,actual_no_income_rate,pred_no_income_count,pred_no_income_rate,actual_housing_loss_income_count,actual_housing_loss_income_rate,pred_housing_loss_income_count,pred_housing_loss_income_rate,actual_housing_loss_health_count,actual_housing_loss_health_rate,pred_housing_loss_health_count,pred_housing_loss_health_rate,observed,true_total
2013,11962,3828,0.320013375689684,3850.5,0.3219,2871,0.240010031767263,2860.8,0.2392,1674,0.139943153318843,1674.2,0.14,120,0.010031767262999498,158.1,0.0132,0,0.0,0.4,0.0,0,0.0,0.7,0.0001,1175,0.09822772111687009,1181.2,0.0987,979,0.08184250125397091,975.0,0.0815,0,0.0,0.4,0.0,0,0.0,1.0,0.0001,0,0.0,0.4,0.0,True,11962
2014,11968,3949,0.32996323529411764,3946.6,0.3298,2872,0.23997326203208555,2884.0,0.241,1795,0.14998328877005349,1795.1,0.15,120,0.010026737967914439,132.2,0.011,0,0.0,0.4,0.0,0,0.0,0.7,0.0001,1274,0.10645053475935828,1272.0,0.1063,940,0.0785427807486631,955.4,0.0798,0,0.0,0.4,0.0,0,0.0,1.0,0.0001,0,0.0,0.4,0.0,False,11968
2015,11988,4076,0.34000667334000667,4097.3,0.3418,2996,0.24991658324991659,3023.4,0.2522,1918,0.15999332665999333,1918.1,0.16,961,0.0801634968301635,1007.1,0.084,0,0.0,0.4,0.0,0,0.0,0.7,0.0001,1346,0.11227894561227894,1342.1,0.112,1047,0.08733733733733734,1041.0,0.0868,0,0.0,0.4,0.0,0,0.0,1.0,0.0001,0,0.0,0.4,0.0,False,11988
2016,11998,4319,0.35997666277712953,4302.9,0.3586,3119,0.25995999333222203,3113.4,0.2595,2040,0.17002833805634274,2040.1,0.17,1830,0.15252542090348392,1819.6,0.1517,0,0.0,0.4,0.0,0,0.0,0.7,0.0001,1393,0.1161026837806301,1398.6,0.1166,1043,0.08693115519253208,1051.2,0.0876,0,0.0,0.4,0.0,0,0.0,1.0,0.0001,0,0.0,0.4,0.0,False,11998
2017,10720,4073,0.37994402985074627,4071.2,0.3798,2895,0.27005597014925375,2841.1,0.265,1930,0.18003731343283583,1930.1,0.18,2412,0.225,2227.1,0.2077,0,0.0,0.4,0.0,0,0.0,0.6,0.0001,1316,0.12276119402985075,1324.6,0.1236,975,0.09095149253731344,981.3,0.0915,0,0.0,0.4,0.0,0,0.0,0.8,0.0001,0,0.0,0.4,0.0,False,10720
2018,11545,6928,0.6000866175833695,6948.0,0.6018,1731,0.14993503681247294,1811.5,0.1569,1155,0.10004330879168472,1155.3,0.1001,3432,0.29727154612386314,3498.8,0.3031,0,0.0,0.4,0.0,0,0.0,0.6,0.0001,3540,0.30662624512776093,3526.7,0.3055,2861,0.24781290601992204,2858.1,0.2476,0,0.0,0.4,0.0,0,0.0,0.9,0.0001,0,0.0,0.4,0.0,True,11545
2019,8087,4852,0.599975268950167,4846.4,0.5993,1212,0.1498701619883764,1201.8,0.1486,1001,0.1237789044144924,1001.1,0.1238,2732,0.33782614071967354,2718.9,0.3362,266,0.032892296277977,270.0,0.0334,620,0.07666625448250278,629.2,0.0778,2437,0.30134784221590205,2429.2,0.3004,2020,0.24978360331396068,2013.1,0.2489,246,0.03041919129467046,255.3,0.0316,907,0.11215531099295165,928.2,0.1148,326,0.04031161122789662,332.5,0.0411,False,8087
2020,8505,5103,0.6,5041.2,0.5927,2354,0.27677836566725456,2346.8,0.2759,2105,0.24750146972369194,2105.0,0.2475,3757,0.44174015285126395,3721.3,0.4375,549,0.06455026455026455,552.4,0.065,1237,0.14544385655496767,1240.6,0.1459,2547,0.29947089947089944,2524.0,0.2968,2124,0.24973544973544973,2098.3,0.2467,454,0.0533803644914756,454.9,0.0535,1907,0.22422104644326868,1902.4,0.2237,618,0.07266313932980599,620.4,0.0729,False,8505
2021,11482,5756,0.5013063926145271,5814.5,0.5064,4767,0.41517157289670786,4754.3,0.4141,4018,0.34993903501132206,4017.8,0.3499,5329,0.4641177495209894,5457.8,0.4753,1118,0.09736979620275213,1112.8,0.0969,2491,0.21694826685246474,2488.2,0.2167,2077,0.18089183069151715,2116.1,0.1843,1626,0.14161295941473612,1659.3,0.1445,1005,0.08752830517331475,1002.0,0.0873,3908,0.3403588225047901,3901.8,0.3398,1307,0.11383034314579342,1306.4,0.1138,True,11482
2022,12053,6799,0.5640919273209989,6801.4,0.5643,5423,0.44992947813822287,5402.2,0.4482,4219,0.35003733510329377,4218.7,0.35,5926,0.49166182693105454,5937.7,0.4926,1302,0.10802289886335352,1304.4,0.1082,3007,0.2494814568986974,3000.6,0.2489,2399,0.19903758400398242,2400.1,0.1991,1893,0.15705633452252551,1893.0,0.1571,1157,0.09599269891313365,1154.3,0.0958,4690,0.38911474321745626,4692.9,0.3894,1506,0.12494814568986974,1505.4,0.1249,False,12053
