year,age,years_homeless,gender,race,mental_health,substance_use,outdoor_sleeping,chronic_homeless,shelter_type,youth,indigenous_flag,lgbtq,immigrant,foster_care_history,incarceration_history,no_income,housing_loss_income,housing_loss_health
2013,35.6,0.69,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,26.7,0.1,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,37.7,0.05,male,indigenous,1,1,0,0,respite,0,1,0,0,0,0,0,0,0
2013,50.0,3.94,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,25.4,2.17,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,1,0,0,0,0
2013,25.4,1.43,male,indigenous,1,1,0,0,respite,0,1,0,0,0,0,0,0,0
2013,50.7,0.63,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,1,0,0,0
2013,39.4,0.23,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,1,0,0,0
2013,22.1,0.2,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,36.2,0.35,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,1,0,0,0
2013,22.1,0.96,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,22.1,1.5,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,32.0,1.3,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,15.0,0.39,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,15.0,3.72,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,1,0,0,0,0
2013,20.8,1.61,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,15.0,0.97,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,33.0,1.14,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,15.9,0.65,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,15.0,0.34,male,indigenous,1,1,0,0,respite,1,1,0,0,0,0,0,0,0
2013,49.2,0.53,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,25.5,1.7,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,29.6,0.05,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,15.0,0.15,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,1,0,0,0
2013,21.0,0.06,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,1,0,0,0
2013,30.2,0.05,male,indigenous,1,1,0,0,respite,0,1,0,0,0,0,0,0,0
2013,15.0,2.32,male,indigenous,1,1,0,0,other,1,1,0,0,1,0,0,0,0
2013,33.9,1.46,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,20.2,0.77,male,indigenous,1,1,0,0,respite,1,1,0,0,0,0,0,0,0
2013,24.6,0.12,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,20.2,0.81,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,54.6,0.77,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,1,0,0,0,0
2013,28.4,0.23,male,indigenous,1,1,0,0,other,0,1,0,0,0,0,0,0,0
2013,15.0,0.68,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,40.2,0.61,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,15.0,1.15,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,31.6,1.21,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,15.0,0.06,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,15.0,0.56,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,31.4,1.18,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,39.0,0.84,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,1,0,0,0,0
2013,31.0,2.33,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,27.0,1.29,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,24.4,0.21,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,15.0,0.09,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,1,0,0,0
2013,18.6,1.23,male,indigenous,1,1,0,0,respite,1,1,0,0,1,0,0,0,0
2013,22.2,0.05,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,43.4,1.06,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,1,0,0,0,0
2013,33.4,3.38,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,1,0,0,0,0
2013,15.0,1.03,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
2013,33.2,0.59,male,indigenous,1,1,0,0,emergency_shelter,0,1,0,0,0,0,0,0,0
2013,23.2,1.24,male,indigenous,1,1,0,0,emergency_shelter,1,1,0,0,0,0,0,0,0
