Date,Count_,TotalLengthOfStay,Category,ObjectId
2014/04/01 00:00:00+00,2024,40656,All Clients,1
2014/04/01 00:00:00+00,1382,24783,All Singles,2
2014/04/01 00:00:00+00,716,17276,Family Household Members,3
2014/04/01 00:00:00+00,647,15903,Family Member,4
2014/04/01 00:00:00+00,70,1403,Offsite/Overflow Singles,5
2014/04/01 00:00:00+00,830,14585,Mens Shelter,6
2014/04/01 00:00:00+00,219,3840,Womens Shelter,7
2014/04/01 00:00:00+00,248,2846,Mixed-Gender,8
2014/04/01 00:00:00+00,113,2109,Youth Shelter,9
2014/04/01 00:00:00+00,974,17613,Single Adult Males,10
2014/04/01 00:00:00+00,294,5031,Single Adult Females,11
2014/04/01 00:00:00+00,114,2139,Single Youth 18 Under,12
2014/04/01 00:00:00+00,186,15903,Family Units,13
2014/04/01 00:00:00+00,255,17276,Family Households,14
2014/08/01 00:00:00+00,2256,46128,All Clients,15
2014/08/01 00:00:00+00,1410,25425,All Singles,16
2014/08/01 00:00:00+00,905,21825,Family Household Members,17
2014/08/01 00:00:00+00,849,20709,Family Member,18
2014/08/01 00:00:00+00,57,1122,Offsite/Overflow Singles,19
2014/08/01 00:00:00+00,895,15155,Mens Shelter,20
2014/08/01 00:00:00+00,214,4039,Womens Shelter,21
2014/08/01 00:00:00+00,284,3113,Mixed-Gender,22
2014/08/01 00:00:00+00,83,1996,Youth Shelter,23
2014/08/01 00:00:00+00,1051,18363,Single Adult Males,24
2014/08/01 00:00:00+00,276,5131,Single Adult Females,25
2014/08/01 00:00:00+00,83,1931,Single Youth 18 Under,26
2014/08/01 00:00:00+00,258,20709,Family Units,27
2014/08/01 00:00:00+00,314,21825,Family Households,28
2014/12/01 00:00:00+00,2204,47914,All Clients,29
2014/12/01 00:00:00+00,1327,24910,All Singles,30
2014/12/01 00:00:00+00,934,24106,Family Household Members,31
2014/12/01 00:00:00+00,880,23046,Family Member,32
2014/12/01 00:00:00+00,56,1102,Offsite/Overflow Singles,33
2014/12/01 00:00:00+00,826,14906,Mens Shelter,34
2014/12/01 00:00:00+00,229,4247,Womens Shelter,35
2014/12/01 00:00:00+00,255,2758,Mixed-Gender,36
2014/12/01 00:00:00+00,100,1897,Youth Shelter,37
2014/12/01 00:00:00+00,943,17905,Single Adult Males,38
2014/12/01 00:00:00+00,292,5299,Single Adult Females,39
2014/12/01 00:00:00+00,92,1706,Single Youth 18 Under,40
2014/12/01 00:00:00+00,253,23046,Family Units,41
2014/12/01 00:00:00+00,307,24106,Family Households,42
2014/02/01 00:00:00+00,2009,39437,All Clients,43
2014/02/01 00:00:00+00,1303,22874,All Singles,44
2014/02/01 00:00:00+00,798,18139,Family Household Members,45
2014/02/01 00:00:00+00,716,16591,Family Member,46
2014/02/01 00:00:00+00,89,1576,Offsite/Overflow Singles,47
2014/02/01 00:00:00+00,780,13328,Mens Shelter,48
2014/02/01 00:00:00+00,211,3618,Womens Shelter,49
2014/02/01 00:00:00+00,217,2457,Mixed-Gender,50
2014/03/01 00:00:00+00,726,18259,Family Household Members,51
2014/03/01 00:00:00+00,645,16602,Family Member,52
2014/03/01 00:00:00+00,82,1688,Offsite/Overflow Singles,53
2014/03/01 00:00:00+00,824,14890,Mens Shelter,54
2014/03/01 00:00:00+00,209,3906,Womens Shelter,55
2014/03/01 00:00:00+00,230,2728,Mixed-Gender,56
2014/03/01 00:00:00+00,101,2121,Youth Shelter,57
2014/03/01 00:00:00+00,923,17915,Single Adult Males,58
2014/03/01 00:00:00+00,281,5299,Single Adult Females,59
2014/03/01 00:00:00+00,98,2119,Single Youth 18 Under,60
2014/03/01 00:00:00+00,184,16602,Family Units,61
2014/03/01 00:00:00+00,265,18259,Family Households,62
2014/05/01 00:00:00+00,2117,43139,All Clients,63
2014/05/01 00:00:00+00,1449,25740,All Singles,64
2014/05/01 00:00:00+00,740,18735,Family Household Members,65
2014/05/01 00:00:00+00,678,17426,Family Member,66
2014/05/01 00:00:00+00,65,1336,Offsite/Overflow Singles,67
2014/05/01 00:00:00+00,908,15333,Mens Shelter,68
2014/05/01 00:00:00+00,226,4033,Womens Shelter,69
2014/05/01 00:00:00+00,266,2932,Mixed-Gender,70
2014/05/01 00:00:00+00,108,2106,Youth Shelter,71
2014/05/01 00:00:00+00,1044,18416,Single Adult Males,72
2014/05/01 00:00:00+00,297,5220,Single Adult Females,73
2014/05/01 00:00:00+00,108,2104,Single Youth 18 Under,74
2014/05/01 00:00:00+00,201,17426,Family Units,75
2014/05/01 00:00:00+00,264,18735,Family Households,76
2014/11/01 00:00:00+00,2282,48351,All Clients,77
2014/11/01 00:00:00+00,1355,25225,All Singles,78
2014/11/01 00:00:00+00,992,24330,Family Household Members,79
2014/11/01 00:00:00+00,934,23186,Family Member,80
2014/11/01 00:00:00+00,61,1204,Offsite/Overflow Singles,81
2014/11/01 00:00:00+00,859,15267,Mens Shelter,82
2014/11/01 00:00:00+00,205,4091,Womens Shelter,83
2014/11/01 00:00:00+00,259,2670,Mixed-Gender,84
2014/11/01 00:00:00+00,98,1993,Youth Shelter,85
2014/11/01 00:00:00+00,989,18252,Single Adult Males,86
2014/11/01 00:00:00+00,271,5261,Single Adult Females,87
2014/11/01 00:00:00+00,95,1712,Single Youth 18 Under,88
2014/11/01 00:00:00+00,275,23186,Family Units,89
2014/11/01 00:00:00+00,334,24330,Family Households,90
2014/10/01 00:00:00+00,2311,49407,All Clients,91
2014/10/01 00:00:00+00,1409,25686,All Singles,92
2014/10/01 00:00:00+00,960,24808,Family Household Members,93
2014/10/01 00:00:00+00,904,23783,Family Member,94
2014/10/01 00:00:00+00,58,1087,Offsite/Overflow Singles,95
2014/10/01 00:00:00+00,904,15706,Mens Shelter,96
2014/10/01 00:00:00+00,215,4150,Womens Shelter,97
2014/10/01 00:00:00+00,261,2788,Mixed-Gender,98
2014/10/01 00:00:00+00,96,1955,Youth Shelter,99
2014/10/01 00:00:00+00,1034,18788,Single Adult Males,100
2015/11/01 00:00:00+00,202,3931,Womens Shelter,101
2015/11/01 00:00:00+00,256,2329,Mixed-Gender,102
2015/11/01 00:00:00+00,95,1868,Youth Shelter,103
2015/11/01 00:00:00+00,991,16846,Single Adult Males,104
2015/11/01 00:00:00+00,283,5276,Single Adult Females,105
2015/11/01 00:00:00+00,83,1397,Single Youth 18 Under,106
2015/11/01 00:00:00+00,250,21934,Family Units,107
2015/11/01 00:00:00+00,299,22976,Family Households,108
2015/10/01 00:00:00+00,2364,49352,All Clients,109
2015/10/01 00:00:00+00,1407,24539,All Singles,110
2015/10/01 00:00:00+00,1020,25956,Family Household Members,111
2015/10/01 00:00:00+00,962,24844,Family Member,112
2015/10/01 00:00:00+00,59,1143,Offsite/Overflow Singles,113
2015/10/01 00:00:00+00,861,14865,Mens Shelter,114
2015/10/01 00:00:00+00,230,3830,Womens Shelter,115
2015/10/01 00:00:00+00,281,2758,Mixed-Gender,116
2015/10/01 00:00:00+00,100,1943,Youth Shelter,117
2015/10/01 00:00:00+00,1004,17719,Single Adult Males,118
2015/10/01 00:00:00+00,309,5210,Single Adult Females,119
2015/10/01 00:00:00+00,94,1610,Single Youth 18 Under,120
2015/10/01 00:00:00+00,269,24844,Family Units,121
2015/10/01 00:00:00+00,327,25956,Family Households,122
2015/09/01 00:00:00+00,2313,46658,All Clients,123
2015/09/01 00:00:00+00,1385,24012,All Singles,124
2015/09/01 00:00:00+00,986,23795,Family Household Members,125
2015/09/01 00:00:00+00,933,22706,Family Member,126
2015/09/01 00:00:00+00,56,1149,Offsite/Overflow Singles,127
2015/09/01 00:00:00+00,871,14547,Mens Shelter,128
2015/09/01 00:00:00+00,208,3837,Womens Shelter,129
2015/09/01 00:00:00+00,270,2678,Mixed-Gender,130
2015/09/01 00:00:00+00,96,1801,Youth Shelter,131
2015/09/01 00:00:00+00,1010,17363,Single Adult Males,132
2015/09/01 00:00:00+00,294,5258,Single Adult Females,133
2015/09/01 00:00:00+00,81,1391,Single Youth 18 Under,134
2015/09/01 00:00:00+00,260,22706,Family Units,135
2015/09/01 00:00:00+00,313,23795,Family Households,136
2016/04/01 00:00:00+00,2137,43204,All Clients,137
2016/04/01 00:00:00+00,1353,23444,All Singles,138
2016/04/01 00:00:00+00,838,20809,Family Household Members,139
2016/04/01 00:00:00+00,785,19760,Family Member,140
2016/04/01 00:00:00+00,53,1049,Offsite/Overflow Singles,141
2016/04/01 00:00:00+00,872,14346,Mens Shelter,142
2016/04/01 00:00:00+00,203,3594,Womens Shelter,143
2016/04/01 00:00:00+00,291,2568,Mixed-Gender,144
2016/04/01 00:00:00+00,79,1887,Youth Shelter,145
2016/04/01 00:00:00+00,996,17134,Single Adult Males,146
2016/04/01 00:00:00+00,291,4978,Single Adult Females,147
2016/04/01 00:00:00+00,66,1332,Single Youth 18 Under,148
2016/04/01 00:00:00+00,227,19760,Family Units,149
2016/04/01 00:00:00+00,279,20809,Family Households,150
2014/02/01 00:00:00+00,95,1895,Youth Shelter,151
2014/02/01 00:00:00+00,905,15881,Single Adult Males,152
2014/02/01 00:00:00+00,297,5044,Single Adult Females,153
2014/02/01 00:00:00+00,101,1949,Single Youth 18 Under,154
2014/02/01 00:00:00+00,204,16591,Family Units,155
2014/02/01 00:00:00+00,292,18139,Family Households,156
2014/01/01 00:00:00+00,2094,45026,All Clients,157
2014/01/01 00:00:00+00,1390,26446,All Singles,158
2014/01/01 00:00:00+00,801,20706,Family Household Members,159
2014/01/01 00:00:00+00,716,18638,Family Member,160
2014/01/01 00:00:00+00,97,2126,Offsite/Overflow Singles,161
2014/01/01 00:00:00+00,863,15335,Mens Shelter,162
2014/01/01 00:00:00+00,217,4051,Womens Shelter,163
2014/01/01 00:00:00+00,242,2873,Mixed-Gender,164
2014/01/01 00:00:00+00,104,2061,Youth Shelter,165
2014/01/01 00:00:00+00,986,18510,Single Adult Males,166
2014/01/01 00:00:00+00,298,5765,Single Adult Females,167
2014/01/01 00:00:00+00,106,2171,Single Youth 18 Under,168
2014/01/01 00:00:00+00,208,18638,Family Units,169
2014/01/01 00:00:00+00,302,20706,Family Households,170
2014/07/01 00:00:00+00,2187,44077,All Clients,171
2014/07/01 00:00:00+00,1412,25284,All Singles,172
2014/07/01 00:00:00+00,845,20008,Family Household Members,173
2014/07/01 00:00:00+00,782,18793,Family Member,174
2014/07/01 00:00:00+00,63,1215,Offsite/Overflow Singles,175
2014/07/01 00:00:00+00,891,15053,Mens Shelter,176
2014/07/01 00:00:00+00,212,3994,Womens Shelter,177
2014/07/01 00:00:00+00,261,3054,Mixed-Gender,178
2014/07/01 00:00:00+00,105,1968,Youth Shelter,179
2014/07/01 00:00:00+00,1033,18206,Single Adult Males,180
2014/07/01 00:00:00+00,278,5179,Single Adult Females,181
