Topic,Sector,Period,Question,Response,Denominator,Numerator,Percent
Challenges and supports,All,October 2021,1. Do you want to get into permanent housing?,No,1340,46,3.4
Challenges and supports,All,October 2021,1. Do you want to get into permanent housing?,Yes,1340,1245,92.9
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Addiction,1340,310,23.1
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Addiction,2595,454,17.5
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Children,1340,48,3.6
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Children,2595,70,2.7
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Credit checks,1340,39,2.9
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Credit checks,2595,0,0.0
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Criminal history,1340,192,14.3
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Criminal history,2595,224,8.6
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Discrimination,1340,260,19.4
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Discrimination,2595,269,10.4
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Domestic violence,1340,99,7.4
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Domestic violence,2595,154,5.9
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Don't want housing,1340,12,0.9
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Don't want housing,2595,48,1.8
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Family conflict,1340,150,11.2
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Family conflict,2595,264,10.2
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Health/disability,1340,147,11.0
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Health/disability,2595,231,8.9
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Lack of housing stock,1340,26,1.9
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Lack of housing stock,2595,0,0.0
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Lack of support,1340,63,4.7
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Lack of support,2595,507,19.5
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Low income,1340,816,60.9
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Low income,2595,1514,58.3
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Mental health,1340,288,21.5
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Mental health,2595,409,15.8
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,No income assistance,1340,235,17.5
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,No income assistance,2595,637,24.5
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Pets,1340,53,4.0
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Pets,2595,64,2.5
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Poor housing conditions,1340,268,20.0
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Poor housing conditions,2595,432,16.6
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Rents too high,1340,811,60.5
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Rents too high,2595,1462,56.3
Challenges and supports,All,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Wait list for subsidized housing,1340,32,2.4
Challenges and supports,All,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Wait list for subsidized housing,2595,0,0.0
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Access to Facilities,2595,761,29.3
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,Addiction or substance use,1340,405,30.2
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Addiction or substance use,2595,647,24.9
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,Brain injury,1340,78,5.8
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Cultural Supports,2595,540,20.8
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Disability Support,2595,527,20.3
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Family Supports,2595,690,26.6
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Financial Supports,2595,1332,51.3
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Food Security,2595,1185,45.7
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,Learning disability,1340,116,8.7
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Legal Aid,2595,660,25.4
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,Medical condition,1340,248,18.5
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,Mental health,1340,530,39.6
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Mental health,2595,863,33.3
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Newcomer/Refugee Supports,2595,127,4.9
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,None of the above,1340,464,34.6
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,None of the above,2595,65,2.5
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,Physical disability,1340,126,9.4
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,Pregnancy,1340,21,1.6
Challenges and supports,All,October 2021,3. What would you need support with to help you through your housing journey?,Pregnancy,1340,21,1.6
Challenges and supports,All,October 2024,3. What would you need support with to help you through your housing journey?,Supportive Housing,2595,1277,49.2
Challenges and supports,Family,October 2021,1. Do you want to get into permanent housing?,Yes,137,136,99
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Addiction,137,8,6
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Addiction,248,3,1.2
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Children,137,30,22
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Children,248,29,11.7
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Credit checks,137,8,6
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Credit checks,248,0,0.0
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Discrimination,137,16,12
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Discrimination,248,19,7.7
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Domestic violence,137,16,12
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Domestic violence,248,20,8.1
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Family conflict,137,17,12
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Family conflict,248,22,8.9
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Health/disability,137,10,7
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Health/disability,248,12,4.8
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Lack of support,137,6,4
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Lack of support,248,34,13.7
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Low income,137,102,75
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Low income,248,182,73.4
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Mental health,137,16,12
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Mental health,248,16,6.5
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,No income assistance,137,20,15
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,No income assistance,248,58,23.4
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Other,137,8,6
