_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,ageunder16,age16-24,age25-34,age35-44,age45-54,age55-64,age65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage
1,18-Jan,All Population,46,494,1106,508,862,7958,1233,1111,1341,1560,1318,973,422,4963,2912,83,100.00%
2,18-Jan,Chronic,11,29,317,111,111,2532,223,346,313,403,505,495,247,1632,870,30,31.80%
3,18-Jan,Refugees,4,32,651,328,75,2408,914,241,414,547,204,66,22,1219,1177,12,30.30%
4,18-Jan,Families,0,14,561,321,57,2277,1232,187,276,411,130,23,18,968,1308,1,28.60%
5,18-Jan,Youth,12,64,116,44,116,924,0,924,0,0,0,0,0,571,312,41,11.60%
6,18-Jan,Single Adult,34,416,429,143,689,4757,0,0,1065,1149,1188,950,404,3424,1292,41,59.80%
7,18-Jan,Non-refugees,42,462,455,180,787,5550,319,870,927,1013,1114,907,400,3744,1735,71,69.70%
8,18-Feb,All Population,78,481,947,489,757,8132,1271,1094,1392,1579,1399,965,432,5093,2959,80,100.00%
9,18-Feb,Chronic,11,31,217,152,73,2541,202,362,308,399,521,496,253,1652,862,27,31.20%
10,18-Feb,Refugees,8,26,490,345,89,2491,965,253,417,534,237,66,19,1264,1214,13,30.60%
11,18-Feb,Families,4,18,435,347,55,2336,1268,197,278,410,145,22,16,1007,1328,1,28.70%
12,18-Feb,Youth,19,45,91,28,131,893,0,893,0,0,0,0,0,556,301,36,11.00%
13,18-Feb,Single Adult,55,418,421,114,571,4903,0,0,1114,1169,1254,943,416,3530,1330,43,60.30%
14,18-Feb,Non-refugees,70,455,457,144,668,5641,306,841,975,1045,1162,899,413,3829,1745,67,69.40%
15,18-Mar,All Population,64,489,1226,533,736,8607,1414,1115,1487,1727,1460,969,435,5389,3133,85,100.00%
16,18-Mar,Chronic,11,30,327,175,91,2614,226,377,316,412,526,500,257,1696,889,29,30.40%
17,18-Mar,Refugees,11,24,715,340,70,2826,1121,250,468,634,259,72,22,1416,1392,18,32.80%
18,18-Mar,Families,7,8,651,330,41,2636,1412,210,320,491,164,28,11,1141,1495,0,30.60%
19,18-Mar,Youth,17,64,99,44,108,905,0,905,0,0,0,0,0,573,291,41,10.50%
20,18-Mar,Single Adult,40,417,476,159,587,5066,0,0,1167,1236,1296,941,424,3675,1347,44,58.90%
21,18-Mar,Non-refugees,53,465,511,193,666,5781,293,865,1019,1093,1201,897,413,3973,1741,67,67.20%
22,18-Apr,All Population,59,518,1305,652,760,9033,1615,1126,1554,1823,1476,983,456,5631,3312,90,100.00%
23,18-Apr,Chronic,10,27,328,217,89,2653,236,381,322,433,519,504,258,1716,901,36,29.40%
24,18-Apr,Refugees,2,31,812,424,72,3170,1321,258,515,703,280,71,22,1562,1590,18,35.10%
25,18-Apr,Families,8,8,747,413,34,2953,1613,217,361,557,166,26,13,1273,1680,0,32.70%
26,18-Apr,Youth,18,54,100,41,105,909,0,909,0,0,0,0,0,573,293,43,10.10%
27,18-Apr,Single Adult,33,456,458,198,621,5171,0,0,1193,1266,1310,957,443,3785,1339,47,57.20%
28,18-Apr,Non-refugees,57,487,493,228,688,5863,294,868,1039,1120,1196,912,434,4069,1722,72,64.90%
29,18-May,All Population,50,484,1469,575,882,9516,1830,1153,1644,1946,1502,985,456,5838,3583,95,100.00%
30,18-May,Chronic,14,36,269,167,90,2697,242,376,324,444,533,517,261,1731,933,33,28.30%
31,18-May,Refugees,3,33,995,393,110,3694,1552,290,602,840,312,74,24,1802,1876,16,38.80%
32,18-May,Families,3,16,825,390,64,3350,1828,231,396,666,194,27,11,1414,1934,2,35.20%
33,18-May,Youth,10,66,120,35,130,921,0,921,0,0,0,0,0,570,305,46,9.70%
34,18-May,Single Adult,37,402,524,150,688,5245,0,0,1251,1280,1308,958,445,3854,1344,47,55.10%
35,18-May,Non-refugees,47,451,474,182,772,5822,278,863,1042,1106,1190,911,432,4036,1707,79,61.20%
36,18-Jun,All Population,56,475,1333,624,888,9823,1937,1217,1726,1977,1526,979,461,5957,3765,101,100.00%
37,18-Jun,Chronic,17,24,316,193,104,2725,272,381,321,457,531,510,253,1742,946,37,27.70%
38,18-Jun,Refugees,6,31,777,461,99,3947,1639,323,654,892,333,77,29,1933,1998,16,40.20%
39,18-Jun,Families,7,14,686,436,61,3568,1937,265,422,698,208,27,11,1510,2056,2,36.30%
40,18-Jun,Youth,18,52,123,32,117,950,0,950,0,0,0,0,0,578,321,51,9.70%
41,18-Jun,Single Adult,31,409,524,156,710,5305,0,0,1304,1279,1318,952,450,3869,1388,48,54.00%
42,18-Jun,Non-refugees,50,444,556,163,789,5876,298,894,1072,1085,1193,902,432,4024,1767,85,59.80%
43,18-Jul,All Population,73,492,1156,952,929,9602,1835,1213,1678,1973,1479,967,457,5809,3697,96,100.00%
44,18-Jul,Chronic,18,35,376,248,96,2791,302,384,331,481,543,496,254,1760,994,37,29.10%
45,18-Jul,Refugees,13,22,627,781,97,3725,1499,327,624,854,309,82,30,1823,1886,16,38.80%
46,18-Jul,Families,16,14,600,765,49,3387,1831,259,388,670,197,30,12,1414,1972,1,35.30%
47,18-Jul,Youth,12,63,115,36,127,953,0,953,0,0,0,0,0,579,323,51,9.90%
48,18-Jul,Single Adult,45,415,441,151,753,5262,0,0,1290,1303,1282,937,445,3816,1402,44,54.80%
49,18-Jul,Non-refugees,60,470,529,171,832,5877,336,886,1054,1119,1170,885,427,3986,1811,80,61.20%
50,18-Aug,All Population,79,486,1214,834,921,9557,1810,1223,1662,1942,1480,978,462,5763,3701,93,100.00%
51,18-Aug,Chronic,14,34,299,236,109,2766,281,371,334,481,536,494,269,1762,971,33,28.90%
52,18-Aug,Refugees,9,30,634,665,126,3602,1413,333,612,812,319,89,24,1765,1824,13,37.70%
53,18-Aug,Families,14,22,670,628,57,3411,1806,289,417,642,211,32,14,1417,1994,0,35.70%
54,18-Aug,Youth,16,54,122,50,137,934,0,934,0,0,0,0,0,555,327,52,9.80%
55,18-Aug,Single Adult,49,410,422,156,727,5212,0,0,1245,1300,1269,946,448,3791,1380,41,54.50%
56,18-Aug,Non-refugees,70,456,580,169,795,5955,397,890,1050,1130,1161,889,438,3998,1877,80,62.30%
